match_id,over_id,ball_id,innings_no,team_batting,team_bowling,striker_batting_position,striker,non_striker,bowler
335988,13,6,1,3,4,6,22,19,68
335988,13,6,2,4,3,4,27,26,435
335988,13,7,1,3,4,3,19,22,68
335988,13,8,1,3,4,6,22,19,68
335988,14,1,1,3,4,6,22,19,25
335988,14,1,2,4,3,4,27,26,121
335988,14,2,1,3,4,3,19,22,25
335988,14,2,2,4,3,3,26,27,121
335988,14,3,1,3,4,3,19,22,25
335988,14,3,2,4,3,4,27,26,121
335988,14,4,1,3,4,6,22,19,25
335988,14,4,2,4,3,3,26,27,121
335988,14,5,1,3,4,3,19,22,25
335988,14,5,2,4,3,4,27,26,121
335988,14,6,1,3,4,3,19,22,25
335988,14,6,2,4,3,4,27,26,121
335988,14,7,2,4,3,4,27,26,121
335988,15,1,1,3,4,3,19,22,68
335988,15,1,2,4,3,3,26,27,119
335988,15,2,1,3,4,3,19,22,68
335988,15,2,2,4,3,4,27,26,119
335988,15,3,1,3,4,6,22,19,68
335988,15,3,2,4,3,3,26,28,119
335988,15,4,1,3,4,6,22,19,68
335988,15,4,2,4,3,3,26,28,119
335988,15,5,1,3,4,3,19,22,68
335988,15,5,2,4,3,5,28,26,119
335988,15,6,1,3,4,3,19,22,68
335988,15,6,2,4,3,3,26,28,119
335988,16,1,1,3,4,6,22,19,29
335988,16,1,2,4,3,5,28,26,435
335988,16,2,1,3,4,6,22,19,29
335988,16,2,2,4,3,5,28,26,435
335988,16,3,1,3,4,6,22,19,29
335988,16,3,2,4,3,3,26,28,435
335988,16,4,1,3,4,7,23,19,29
335988,16,4,2,4,3,3,26,28,435
335988,16,5,1,3,4,7,23,19,29
335988,16,5,2,4,3,5,28,26,435
335988,16,6,1,3,4,3,19,23,29
335988,16,6,2,4,3,3,26,28,435
335988,17,1,1,3,4,3,19,23,77
335988,17,1,2,4,3,5,28,26,120
335988,17,2,1,3,4,7,23,19,77
335988,17,2,2,4,3,3,26,28,120
335988,17,3,1,3,4,3,19,23,77
335988,17,3,2,4,3,5,28,26,120
335988,17,4,1,3,4,3,19,23,77
335988,17,4,2,4,3,3,26,28,120
335988,17,5,1,3,4,3,19,23,77
335988,17,5,2,4,3,3,26,28,120
335988,17,6,1,3,4,7,23,19,77
335988,17,6,2,4,3,5,28,26,120
335988,18,1,1,3,4,7,23,19,29
335988,18,1,2,4,3,3,26,28,121
335988,18,2,1,3,4,7,23,19,29
335988,18,2,2,4,3,5,28,26,121
335988,18,3,1,3,4,7,23,19,29
335988,18,3,2,4,3,3,26,28,121
335988,18,4,1,3,4,3,19,23,29
335988,18,4,2,4,3,3,26,28,121
335988,18,5,1,3,4,3,19,23,29
335988,18,5,2,4,3,5,28,29,121
335988,18,6,1,3,4,3,19,23,29
335988,18,6,2,4,3,6,29,28,121
335988,19,1,1,3,4,7,23,19,66
335988,19,1,2,4,3,5,28,29,22
335988,19,2,1,3,4,7,23,19,66
335988,19,2,2,4,3,6,29,28,22
335988,19,3,1,3,4,3,19,23,66
335988,19,3,2,4,3,5,28,29,22
335988,19,4,1,3,4,7,23,19,66
335988,19,4,2,4,3,6,29,28,22
335988,19,5,1,3,4,3,19,23,66
335988,19,5,2,4,3,5,28,29,22
335988,19,6,1,3,4,3,19,23,66
335988,19,6,2,4,3,5,28,29,22
335988,20,1,1,3,4,7,23,19,25
335988,20,1,2,4,3,5,28,29,119
335988,20,2,1,3,4,7,23,19,25
335988,20,2,2,4,3,6,29,28,119
335988,20,3,1,3,4,7,23,19,25
335988,20,3,2,4,3,5,28,29,119
335988,20,4,1,3,4,7,23,19,25
335988,20,4,2,4,3,5,28,29,119
335988,20,5,1,3,4,3,19,23,25
335988,20,5,2,4,3,5,28,29,119
335988,20,6,1,3,4,3,19,23,25
335988,20,6,2,4,3,6,29,28,119
335989,1,1,1,5,6,1,30,31,118
335989,1,1,2,6,5,1,40,41,126
335989,1,2,1,5,6,1,30,31,118
335989,1,2,2,6,5,1,40,41,126
335989,1,3,1,5,6,1,30,31,118
335989,1,3,2,6,5,1,40,41,126
335989,1,4,1,5,6,1,30,31,118
335989,1,4,2,6,5,1,40,41,126
335989,1,5,1,5,6,1,30,31,118
335989,1,5,2,6,5,1,40,41,126
335989,1,6,1,5,6,1,30,31,118
335989,1,6,2,6,5,1,40,41,126
335989,1,7,1,5,6,1,30,31,118
335989,2,1,1,5,6,2,31,30,436
335989,2,1,2,6,5,2,41,40,32
335989,2,2,1,5,6,1,30,31,436
335989,2,2,2,6,5,2,41,40,32
335989,2,3,1,5,6,1,30,31,436
335989,2,3,2,6,5,2,41,40,32
335989,2,4,1,5,6,1,30,31,436
335989,2,4,2,6,5,2,41,40,32
335989,2,5,1,5,6,2,31,30,436
335989,2,5,2,6,5,3,42,40,32
335989,2,6,1,5,6,2,31,30,436
335989,2,6,2,6,5,3,42,40,32
335989,2,7,2,6,5,3,42,40,32
335989,3,1,1,5,6,1,30,31,118
